Metric_Id,Session_Id,Metric_Name,Metric_Type,Performance_Value,Performance_Unit,Volume_Sets,Volume_Reps,Is_KPI,RPE
m-2026-05-04-1,2026-05-04-strength,Back Squat,Strength,90.0,kg,3,4,True,8
m-2026-05-08-3,2026-05-08-strength,Back Squat,Strength,50.0,kg,4,10,True,8
m-2026-05-08-5,2026-05-08-strength,Deadlift,Strength,50.0,kg,4,10,True,8
m-2026-05-11-7,2026-05-11-strength,Back Squat,Strength,100.0,kg,3,4,True,8
m-2026-05-11-9,2026-05-11-strength,Pull-ups,Strength,0.0,kg,3,8,True,8
m-2026-05-14-11,2026-05-14-strength,Back Squat,Strength,60.0,kg,3,10,True,7
m-2026-05-14-13,2026-05-14-strength,Deadlift,Strength,60.0,kg,3,10,True,7
m-2026-05-14-15,2026-05-14-strength,Calves Press Machine,Strength,100.0,kg,3,10,False,7
m-2026-05-16-17,2026-05-16-strength,Back Squat,Strength,100.0,kg,3,4,True,8
m-2026-05-18-19,2026-05-18-strength,Back Squat,Strength,100.0,kg,3,4,True,8
m-2026-05-27-21,2026-05-27-strength,Back Squat,Strength,110.0,kg,1,3,True,-
m-2026-05-27-22,2026-05-27-strength,Back Squat,Strength,100.0,kg,2,4,True,-
m-2026-06-02-24,2026-06-02-strength,Back Squat,Strength,110.0,kg,3,4,True,-
m-2026-06-08-26,2026-06-08-strength,Back Squat,Strength,110.0,kg,3,4,True,-
m-2026-06-08-28,2026-06-08-strength,Calves Press Machine,Strength,160.0,kg,3,6,False,-
